,fips,year,agriculture_total,agriculture_percent,construction_total,construction_percent,manufacturing_total,manufacturing_percent,wholesale_trade_total,wholesale_trade_percent,retail_trade_total,retail_trade_percent,transport_utilities_total,transport_utilities_percent,information_total,information_percent,finance_insurance_realestate_total,finance_insurance_realestate_percent,prof_scientific_waste_total,prof_scientific_waste_percent,edu_health_total,edu_health_percent,arts_recreation_total,arts_recreation_percent,other_total,other_percent,public_admin_total,public_admin_percent
0,5119,2012,809.0,0.004653490405411624,7957.0,0.04576986793060605,11713.0,0.06737494823063826,3621.0,0.020828539873912845,21883.0,0.12587432699829737,7951.0,0.04573535502277852,4676.0,0.026897059500253093,13860.0,0.07972481708158852,15756.0,0.0906308959550872,47766.0,0.27475725921494637,17637.0,0.10145069255901708,7184.0,0.041323454972159585,13035.0,0.07497929225530349
1,10005,2010,2573.0,0.03190486818937083,8870.0,0.10998685613669618,7668.0,0.09508221114500409,1933.0,0.023968950722912483,12156.0,0.15073283237854326,3344.0,0.041465168762244875,889.0,0.0110234853557523,4361.0,0.05407583761128884,5494.0,0.06812489150112838,17104.0,0.21208739429109938,7440.0,0.0922550405475783,4713.0,0.05844059221784093,4101.0,0.050851871140540135
2,13015,2015,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25013,2011,692.0,0.0032975149507993616,9247.0,0.04406375830930881,23325.0,0.11114817373901027,6636.0,0.03162183412356151,28002.0,0.13343499082699958,8867.0,0.04225298420337852,3505.0,0.016702008529699077,14856.0,0.07079173715184293,18562.0,0.08845154987967882,57972.0,0.27624788544471185,18191.0,0.086683662528889,9922.0,0.047280264944842866,10078.0,0.048023635367277405
4,51153,2013,445.0,0.001978498830684961,20128.0,0.089490392053993,7261.0,0.03228287642607528,3743.0,0.01664162050169395,25340.0,0.11266328172934136,11726.0,0.052134555704745726,3594.0,0.01597915684827359,11659.0,0.05183666936394597,44448.0,0.19761868769951715,40080.0,0.17819827670528815,18400.0,0.08180759210023208,11271.0,0.05011159622618021,26823.0,0.11925679581002854
5,45073,2016,,,,,,,,,,,,,,,,,,,,,,,,,,
6,55027,2011,2745.0,0.06335102700207708,3279.0,0.07567505192707132,12083.0,0.2788599123009462,573.0,0.013224094161089314,4160.0,0.09600738518347565,1591.0,0.03671820909300715,487.0,0.011239326102007847,1263.0,0.02914839603046388,2793.0,0.06445880452342488,8676.0,0.20023078698361413,2466.0,0.05691207015924302,1858.0,0.04288022155550427,1356.0,0.03129471497807523
7,34029,2011,754.0,0.0032165863231090825,18752.0,0.079996587176315,11585.0,0.04942195298835374,6849.0,0.029218036773175207,34141.0,0.1456465167868265,14111.0,0.06019794377372979,6394.0,0.02727699330233352,15091.0,0.06437865278785035,21835.0,0.09314875645236978,58928.0,0.2513885926368329,19718.0,0.08411757177594813,10324.0,0.044042489654878204,15928.0,0.06794931956827781
8,36019,2013,1084.0,0.031942479962281944,2112.0,0.06223479490806223,4329.0,0.12756364922206506,566.0,0.01667845355964168,3778.0,0.11132720414898632,1672.0,0.04926921263554927,445.0,0.013112918434700613,867.0,0.02554809052333805,1920.0,0.056577086280056574,7868.0,0.23184818481848185,4587.0,0.13516619519094766,1255.0,0.036981376709099484,3453.0,0.10175035360678925
9,37119,2011,567.0,0.0012144032075665672,29359.0,0.06288124121860114,36567.0,0.07831936876734862,16505.0,0.035350484904561184,47945.0,0.10268882149343751,27107.0,0.058057897261917,12358.0,0.02646842123299407,64842.0,0.13887889380076077,61166.0,0.13100562009526748,88971.0,0.1905584969672047,51398.0,0.11008447277337993,22271.0,0.047700130221719615,7840.0,0.016791748055241425
10,25017,2012,2020.0,0.0024637060725476063,42720.0,0.0521037244649672,80055.0,0.09763959883059338,14595.0,0.017800886202392233,77264.0,0.09423553761847438,23759.0,0.02897781810775177,19219.0,0.023440577726877448,59872.0,0.0730232722651338,136475.0,0.1664526169559082,231456.0,0.2822968082809796,67598.0,0.08244633816439262,36549.0,0.044577224378981414,28321.0,0.03454189093100037
11,6085,2010,5591.0,0.006703764587672315,42199.0,0.05059777532376749,156189.0,0.1872749574644878,18133.0,0.021741971609419083,88192.0,0.10574466222786565,20789.0,0.024926589521216198,30861.0,0.037003197807217905,41459.0,0.04971049473087221,153969.0,0.18461311568580197,160641.0,0.19261302935579833,57324.0,0.06873307122585008,37362.0,0.04479807771858577,21300.0,0.025539292741445237
12,27123,2016,564.0,0.002020954865341341,10008.0,0.03586119909988677,34224.0,0.12263326119050008,7132.0,0.025555762587968867,28337.0,0.10153864897017299,10965.0,0.039290372515013834,5846.0,0.020947698834726025,21885.0,0.07841949863119724,33486.0,0.11998882024968109,77805.0,0.2787950235778068,22822.0,0.08177700698017744,14883.0,0.05332955897318293,11119.0,0.03984219352434462
13,1051,2015,,,,,,,,,,,,,,,,,,,,,,,,,,
14,16005,2012,869.0,0.022540983606557378,1709.0,0.04432973645984644,3825.0,0.09921664245694127,795.0,0.02062149823614858,3858.0,0.10007262917617762,2264.0,0.05872587673791243,819.0,0.02124403403195684,2734.0,0.0709172027391575,2585.0,0.0670522930068479,11653.0,0.3022670678564017,4405.0,0.11426125752230754,1105.0,0.028662585598671922,1931.0,0.05008819257107284
15,45019,2013,821.0,0.004416542938910765,10238.0,0.05507498977901147,15370.0,0.08268241774793966,3522.0,0.018946485055838874,18396.0,0.09896068685042927,8500.0,0.04572547500699331,4791.0,0.02577302950100058,10016.0,0.05388074796118176,25382.0,0.1365416478385299,45735.0,0.2460299528758634,26193.0,0.14090439610096184,9250.0,0.04976007574290448,7678.0,0.04130355260043466
16,37135,2012,129.0,0.0019093855922795696,2799.0,0.04142922692085671,3884.0,0.05748878791018487,827.0,0.012240789804769024,5550.0,0.08214798478412101,1581.0,0.023401074584449608,1790.0,0.02649457527271651,2727.0,0.04036352333446811,8896.0,0.13167359867379108,28218.0,0.41766699723213097,6469.0,0.09575050694927546,2825.0,0.04181406432705259,1866.0,0.027619484613904472
17,36119,2012,405.0,0.0008914284204988918,28718.0,0.0632099787157708,19189.0,0.04223609866902033,10800.0,0.023771424546637113,43548.0,0.09585166631082899,17645.0,0.03883766538198258,14863.0,0.032714322503395135,46436.0,0.10220832131922603,66307.0,0.14594554142720992,118925.0,0.2617608022415573,40257.0,0.08860798499758984,31616.0,0.06958864430245176,15618.0,0.03437612116383134
18,42097,2013,1599.0,0.03795215038450584,3023.0,0.07175068831292129,5128.0,0.12171271242760846,877.0,0.020815532137092946,6103.0,0.14485426754011202,2379.0,0.056465394474508684,193.0,0.004580841165859679,1428.0,0.03389347764169752,2139.0,0.050769011677584734,11942.0,0.2834425140036077,2943.0,0.06985189404727998,1903.0,0.045167568593942845,2475.0,0.05874394759327827
19,18035,2010,502.0,0.009954787023082414,2513.0,0.049833425874514156,4893.0,0.0970294280955025,1070.0,0.021218370746410725,7174.0,0.142262235266122,1460.0,0.028952169429681922,627.0,0.012433568652336004,2101.0,0.04166336162449433,3397.0,0.06736336955659554,17248.0,0.34203220433092724,5458.0,0.10823352105972872,2412.0,0.04783057031807726,1573.0,0.03119298802252717
20,53041,2015,1811.0,0.060250182979572825,2122.0,0.07059684609754474,2962.0,0.09854281722004125,667.0,0.022190431831791868,3873.0,0.12885088828265354,2589.0,0.08613347528112317,177.0,0.0058886153436689065,848.0,0.028212123228425045,2087.0,0.0694324306341074,5927.0,0.1971854414798057,2583.0,0.08593386120167676,1418.0,0.047175460775833386,2994.0,0.09960742564375541
