fips,year,Arsenic,Nitrates,Uranium,DEHP,total_employed,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transport_utilities,information,finance_insurance_realestate,prof_scientific_waste,edu_health,arts_recreation,other,public_admin,agriculture_%,construction_%,manufacturing_%,wholesale_trade_%,retail_trade_%,transport_utilities_%,information_%,finance_insurance_realestate_%,prof_scientific_waste_%,edu_health_%,arts_recreation_%,other_%,public_admin_%
6001,2010,1.0,334.2645717227512,0.5,1.5,699389.0,1936.0,36459.0,74342.0,23531.0,71978.0,37659.0,21330.0,40478.0,113728.0,157244.0,56708.0,35947.0,28049.0,0.0027681304681657845,0.05212978757172332,0.10629563804978345,0.03364508163554188,0.10291554485415126,0.053845570919759965,0.030498049011351336,0.057876231968189376,0.1626105071712595,0.22483053064889497,0.08108220175038498,0.05139772000989435,0.04010500594089984
6001,2011,1.000395426039104,333.73295661347555,0.8660455169589742,2.383456924148719,723858.0,2772.0,35871.0,83672.0,18509.0,71929.0,39524.0,21455.0,45204.0,111334.0,162364.0,68460.0,37458.0,25306.0,0.003829480367696427,0.049555299520071615,0.11559173208004885,0.025569932224276032,0.09936893700145609,0.05460186942742914,0.029639791229771586,0.06244871231650406,0.1538064095444134,0.2243036617679158,0.09457656059613902,0.05174771847517055,0.03495989544910742
6001,2012,1.0,374.954373726536,1.091507300946736,1.5,747170.0,2646.0,36176.0,80987.0,21664.0,74141.0,32068.0,22626.0,45107.0,126063.0,170045.0,71294.0,38390.0,25963.0,0.003541362742080116,0.048417361510767296,0.10839166454755945,0.028994740152843396,0.09922909110376488,0.04291928209109038,0.03028226508023609,0.06037046455291299,0.1687206392119598,0.22758542232691356,0.09541871327810271,0.05138054258067107,0.03474845082109828
6001,2013,1.0,480.9156952187868,0.0,1.5,766651.0,3044.0,43935.0,78470.0,20850.0,80081.0,37923.0,22424.0,47494.0,131794.0,172876.0,64363.0,36613.0,26784.0,0.0039705159192383495,0.057307692809374804,0.10235426550020804,0.02719620792250972,0.10445561278860915,0.04946579343143099,0.029249293355125085,0.06194996158617155,0.17190873030883674,0.22549504272478613,0.08395345470103084,0.04775706286171935,0.03493636609095925
6001,2014,1.0,427.61164611139264,0.0,1.5,802511.0,4525.0,39763.0,78934.0,21468.0,75990.0,38439.0,26613.0,49106.0,139503.0,178747.0,76076.0,44163.0,29184.0,0.005638551994925926,0.049548230491544665,0.09835877639060399,0.026751035188302717,0.09469029084959583,0.04789840886916192,0.03316216226319639,0.06119043851112321,0.17383313125926,0.22273464164354134,0.09479745448972039,0.05503102138163838,0.036365856667385246
6001,2015,0.9945717181956412,383.41975621428367,0.4035543637250122,1.5,836462.0,3366.0,45288.0,80754.0,22451.0,73840.0,46887.0,29816.0,50013.0,156367.0,179168.0,73407.0,44993.0,30112.0,0.004024091949185976,0.05414232804359313,0.09654234143332273,0.02684043028852476,0.0882765744289639,0.05605395104619217,0.03564537301156538,0.05979112021825259,0.18693855787830171,0.21419741721680124,0.08775891791856653,0.05378965213004297,0.0359992444366869
6001,2016,1.0,386.1699347877504,2.1331039046066835,1.5,848374.0,2289.0,46400.0,80512.0,20774.0,77072.0,43591.0,30037.0,50749.0,169056.0,179720.0,76790.0,43447.0,27937.0,0.002698102487817873,0.05469285951714692,0.09490154106561494,0.024486841888129527,0.09084672561865403,0.0513818198106024,0.03540537545940823,0.05981913637145882,0.1992706047097153,0.21184053259529406,0.0905143250500369,0.051212083350031946,0.03293005207608908
6007,2010,3.5107530594627527,1667.673504080943,1.094035433070866,1.5,88041.0,2925.0,4578.0,5389.0,2197.0,12104.0,3661.0,1695.0,4209.0,10004.0,24315.0,8733.0,4482.0,3749.0,0.03322315739257846,0.05199850069853818,0.061210118013198395,0.02495428266375893,0.13748140071103235,0.04158289887665974,0.019252393771083925,0.04780727161208982,0.11362887745482218,0.27617814427369064,0.09919242171261117,0.05090809963539714,0.04258243318453902
6007,2011,1.040025537155997,1060.0130198321774,0.5070490656540422,1.5,84351.0,2453.0,5208.0,4419.0,1644.0,11772.0,2294.0,1648.0,3344.0,8901.0,25275.0,8875.0,4504.0,4014.0,0.029080864482934406,0.06174200661521499,0.05238823487569798,0.019489988263328234,0.13955969698047443,0.02719588386622565,0.019537409159346066,0.03964386907090609,0.10552334886367679,0.2996407867126649,0.10521511303956088,0.05339592891607687,0.04758686915389266
6007,2012,1.0828656383571826,1548.015661510006,0.6337963104131727,1.5,86165.0,2720.0,4338.0,5065.0,1606.0,12904.0,2386.0,1357.0,4251.0,8100.0,24616.0,9889.0,5620.0,3313.0,0.031567341728079845,0.050345267800150875,0.05878256832820751,0.018638658387976556,0.14975918296291998,0.0276910578541171,0.015748853943016308,0.04933557709046597,0.0940056867637672,0.2856844426391226,0.11476817733418442,0.06522369871757674,0.038449486450414905
